,ss_username,cf_username,cf_rating,cc_username,cc_rating
0,eldnahon,slime,3449,peehs_moorhsum,3007
1,jora,,2383.9,uwi,2906
2,lala,,2259.2,kal013,2756
3,wesnerm,,2209.3,wmoise,2696
4,grebnesieh,grebnesieh,1703,grebnesieh,2673
5,aurinegro,aurinegro,2202,aurinegro,2628
6,retrograd,retrograd,2262,retrograd,2628
7,chris19,anudeep2011,2023,anudeep2011,2565
8,adkroxx,adkroxx,1765,adkroxx,2561
9,ania,ania,2566,ania7,2526
10,hohohaha,a05,2057.1,cacc,2513
11,tusg25,tusg25,2306,tusg25,2507
12,Jakube,jakube,2423,afaxnraner,2494
13,acraider,acraider,2223,acraider,2468
14,bazsi700,bazsi700,2601,bazsi700,2465
15,serotonin,serotonin,2340,serotonin,2461
16,Iamchecking,,2009.7,yash_daga,2456
17,accepted,chinmay0906,2101,chinmay0906,2446
18,srikkanthr,supersri04,1996,supersri_pro,2445
19,smookiekins,npcompete94,1784,rt_shah,2437
20,andrei1998,andrei1998,2422,andrei1998,2436
21,abdullah768,slow_but_determined,2040,abdullah768,2435
22,pmnox,pmnox,1980.6,pmnox,2421
23,EndRay,endray,1972.3,perucmpamypa,2411
24,naveen_iitr,naveen_iitr,1972.3,naveen_iitr,2411
25,math2718maniac,mathmaniac,2013,mathmaniac,2409
26,aropan,aropan,2421,aropan,2406
27,Paradox,paradox1,1964.8,miteshag,2402
28,Threat,fischer,2102,xam_,2395
29,Sorting,sorting,2342,sorting,2391
30,amoo_safar,amoo_safar,2810,alisfr32,2391
31,jay_1048576,jaysharma1048576,2195,jay_1048576,2390
32,demoralizer,demoralizer,2352,demoralizer,2374
33,shivram_gowtham,shivram,2019,a1a99_3,2372
34,nothave,not,1939,not,2371
35,n2n,n2n,1321,n2n_,2369
36,hrsh_panwar,magga,2383,hrsh_panwar,2368
37,aniket9465,aniket9465,2194,aniket9465,2364
38,mihil2701,the_nightmare,2312,mihil2701,2359
39,JovanB,jovanb,2495,jovan_b,2359
40,pkacprzak,pkacprzak,1959,pkacprzak,2357
41,rathi_22,toothbrush,1927.4,rathi_22,2357
42,VictorForbes,victorforbes,2149,victorforbes,2356
43,Wernieris,wernier,2215,mitsumuto,2352
44,ankitsultana,bk2dcradle,2136,ankit1s10_3,2351
45,abhi1agarwal,abhi1agarwal,1904,abhi1agarwal,2350
46,aneesh2312,aneesh2312,2162,aneesh2312,2346
47,cheissmart,cheissmart,2506,cheissmart,2342
48,Neil,neil,2163,neil_veira,2340
49,sameer5,sameergulati,2151,neo1tech9_7,2339
