,,,
,,,
,,,
Atcoder id,AtCoder rating,Codeforces id,Codeforces Rating
tourist,4229,tourist,3843
ksun48,3802,ksun48,3376
zhoukangyang,3640,zhoukangyang,3571
ecnerwala,3814,ecnerwala,3499
Um_nik,3948,Um_nik,3352
newbiedmy,3714,slime,3308
jiangly,3537,jiangly,3705
Stonefeang,3658,Radewoosh,3371
endagorion,3431,endagorion,2822
csy2005,3411,cnnfls_csy,3569
heno239,3456,heno239,2947
scott_wu,3406,scott_wu,3297
Petr,3882,Petr,3320
ugly2333,3361,ugly2333,3235
snuke,3525,snuke,3017
tour1st,3319,djq_cpp,3368
duality,3328,duality,3023
Marcin,3527,Marcin_smu,2845
eatmore,3511,eatmore,2597
gispzjz,3253,gisp_zjz,3033
hos_lyric,3423,hos.lyric,3232
Nachia,3165,Nachia,2965
noshi91,3183,noshi91,2703
Mr_Eight,3145,Mr_Eight,3136
peti1234,3123,peti1234,3006
tatyam,3225,tatyam,2959
yosupo,3444,yosupo,3088
Itst,3088,afo,3146
hitonanode,3222,hitonanode,2957
potato167,3085,potato167,3136
turmax,3106,turmax,3208
AFOer,3037,dXqwq,2984
WA_TLE,3210,WA_TLE,2676
chokudai,3092,chokudai,2592
zscoder,3019,zscoder,2760
AndreySergunin,3089,AndreySergunin,2654
Alex_2oo8,3218,Alex_2oo8,2944
Merkurev,3242,Merkurev,2758
kunyavskiy,3292,PavelKunyavskiy,2485
antontrygubO_o,3109,antontrygubO_o,2771
tlwpdus,3068,TLEwpdus,2956
amoo_safar,2982,Amoo_Safar,2797
koosaga,3330,ko_osaga,3083
yzc2005,2965,yzc2005,3006
cmll02,2959,cmll02,3120
noimi,3055,noimi,3171
gyh20,2976,gyh20,3447
errorgorn,2920,errorgorn,2974
simasima,2912,simasimarisa,2411
arvindf232,2910,arvindf232,3028
He_Ren,2894,He_Ren,2950
maspy,2935,maspy,3196
LHF,2881,crazy_sea,3075
riantkb,2875,riantkb,2621
kotatsugame,2961,kotatsugame,2918
E869120,2950,E869120,2872
tute7627,2911,tute7627,3014
rsjtjydr,2857,yzc2005,3006
KHIN,2853,K-H,2729
djq__fpc,2851,djq_fpc,3209
blackyuki,2848,blackyuki,3070
qiuzx_,2843,qiuzx,2797
Rubikun,2843,Rubikun,2822
SSRS,3020,SSRS_,2984
nuip,2902,nuip,2624
m_99,2830,m_99,2704
Alice_foo_foo,2829,Alice_foo_foo,3203
Kapt,2839,Kapt,3062
rickytheta,2866,rickytheta,2444
Forested,2830,Forested,2918
Nyaan,2826,Nyaan,2765
uwi,3142,uwi,2768
xcyIe,2824,xcyle,2900
PCTprobability,2850,PCTprobability,2879
rin204,2860,asdsasd,2849
xiaoyaowudi,2820,xiaoyaowudi,2220
xay5421,2824,xay5421,3093
kclee2172,2818,kclee2172,2652
sansen,2856,sansen,2822
mtsd,2876,mtsd,2512
huangzirui,2814,huangzirui,2923
liuhengxi,2814,liuhengxi,3009
QCFium,2846,QCFium,2369
chenyikai,2813,20333333333,2845
Golovanov399,3123,Golovanov399,3192
shiomusubi496,2808,shiomusubi496,2772
yuto1115,2859,yuto1115,2957
Heltion,2801,Heltion,2886
sjc061031,2801,sjc061031,2100
tokusakurai,2853,tokusakurai,2754
AndrewG,2839,A_G,2899
