ss_username,cf_username,cf_rating,cc_username,cc_rating
eldnahon,slime,3449,peehs_moorhsum,3007
jora,,,uwi,2906
lala,,,kal013,2756
wesnerm,,,wmoise,2696
grebnesieh,grebnesieh,1703,grebnesieh,2673
aurinegro,aurinegro,2202,aurinegro,2628
retrograd,retrograd,2262,retrograd,2628
chris19,anudeep2011,2023,anudeep2011,2565
adkroxx,adkroxx,1765,adkroxx,2561
ania,ania,2566,ania7,2526
hohohaha,a05,,cacc,2513
tusg25,tusg25,2306,tusg25,2507
Jakube,jakube,2423,afaxnraner,2494
acraider,acraider,2223,acraider,2468
bazsi700,bazsi700,2601,bazsi700,2465
serotonin,serotonin,2340,serotonin,2461
Iamchecking,,,yash_daga,2456
accepted,chinmay0906,2101,chinmay0906,2446
srikkanthr,supersri04,1996,supersri_pro,2445
smookiekins,npcompete94,1784,rt_shah,2437
andrei1998,andrei1998,2422,andrei1998,2436
abdullah768,slow_but_determined,2040,abdullah768,2435
pmnox,pmnox,,pmnox,2421
EndRay,endray,,perucmpamypa,2411
naveen_iitr,naveen_iitr,,naveen_iitr,2411
math2718maniac,mathmaniac,2013,mathmaniac,2409
aropan,aropan,2421,aropan,2406
Paradox,paradox1,,miteshag,2402
Threat,fischer,2102,xam_,2395
Sorting,sorting,2342,sorting,2391
amoo_safar,amoo_safar,2810,alisfr32,2391
jay_1048576,jaysharma1048576,2195,jay_1048576,2390
demoralizer,demoralizer,2352,demoralizer,2374
shivram_gowtham,shivram,2019,a1a99_3,2372
nothave,not,,not,2371
n2n,n2n,1321,n2n_,2369
hrsh_panwar,magga,2383,hrsh_panwar,2368
aniket9465,aniket9465,2194,aniket9465,2364
mihil2701,the_nightmare,2312,mihil2701,2359
JovanB,jovanb,2495,jovan_b,2359
pkacprzak,pkacprzak,1959,pkacprzak,2357
rathi_22,toothbrush,,rathi_22,2357
VictorForbes,victorforbes,2149,victorforbes,2356
Wernieris,wernier,2215,mitsumuto,2352
ankitsultana,bk2dcradle,2136,ankit1s10_3,2351
abhi1agarwal,abhi1agarwal,1904,abhi1agarwal,2350
aneesh2312,aneesh2312,2162,aneesh2312,2346
cheissmart,cheissmart,2506,cheissmart,2342
Neil,neil,2163,neil_veira,2340
sameer5,sameergulati,2151,neo1tech9_7,2339
wittyskull,wittyskull,,shivamtanay,2337
deva2802,deva2802,2213,deva2802,2335
anveshi,anveshi,1838,anveshi,2332
NOOBxCODER,noobxcoder,2381,rishabhdevil,2331
aviroop123,aviroop97,2237,aviroop123,2330
xariniov9,xariniov9,,xariniov9,2328
arsijo,arsijo,2723,arsijo,2327
Rubanenko,rubanenko,2262,rubanenko,2326
talos,bipinpathak,1983,bipinpathak,2320
megatron10,megatron10,,megatron10,2315
Utkarsh_25dec,utkarsh.25dec,,utkarsh_25dec,2314
wizard,roy.satyam,,satyam_343,2313
kalptaru,kalptaru,,kalptaru_123,2309
ikbal,ikbal,2181,contesant,2308
nmalviya,nmalviya52,1969,nmalviya1929,2304
neko_nyaa,neko_nyaa,2545,neko_nyaa,2302
huikang,huikang,,tonghuikang,2300
vagesh_verma,garuna,2131,vagesh_verma,2298
nikaB,nikabb,,nika_b,2298
ExplodingFreeze,explodingfreeze,2196,explodingfrz,2296
pratyush1019,pratyush1019,1958,pratyush1019,2295
shinigami11,shinigami11,2116,ashishthecoder,2295
nonsequitur,nonsequitur,2241,nonsequitur,2291
Sanja,sanja,2239,sanja,2289
sanchit_h,sanchit_h,,sanchit_h,2288
ankurdua15,ankurdua15,2146,ankurdua15,2285
neeraj745,neeraj745,1773,neeraj745,2284
mnaveenkumar2009,mnaveenkumar2009,,mnaveenkumar20,2284
dthangnguyen19,dthangnguyen19,2116,thanglegons,2281
evilbuggy,evilbuggy,,evilbuggy,2281
ffao,ffao,,ffao,2281
RezwanArefin01,rezwan.arefin01,2047,rezwanarefin01,2277
Everule,everule,2573,everule1,2277
johan_liebert,death_scythe,1925,pranavarora,2276
aZvezda,azvezda,2173,azvezda,2276
itisalways42,itisalways42,,itisalways42,2273
torque,torquecode,1723,torque,2272
sidhant007,sidhant,,sidhant007,2272
bnkalya1502,bnkalya1502,2202,bnkalya1502,2269
uditgulati0,uditgulati0,,uditgulati0,2266
ujjwal9895,ujjwal9895,1954,ujjwal9895,2265
ankit_1107,ankit_1107,,ankit_iit,2265
manish05,manish05,1808,manish05,2264
lavish315,lavish315,,lavish315,2264
ssjgz,,,ssjgz,2264
pulkitsinghal,pulkitsinghal,1602,pulkitsinghal,2260
